1-ый месяц,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Оборудование и ремонт,№,Наименование,Цена (руб.),Количество,Итого (руб.),,,Закупка продуктов,№,Наименование,Цена (руб/кг),Количество (кг),Итого (руб.),,,Реклама,№,Наименование,Цена ,Количество,Итого (руб.),,Затраты на персонал,№,Наименование,Цена (руб.),Количество,Итого (руб.),,Логистика и прочие траты,№,Наименование,Цена (руб.),Количество,Итого (руб.),,Аренда и налоги,№,Наименование,Цена (руб.),Количество,Итого (руб.)
,1,Холодильник,183000,6,1098000,,,,1,Сырая/замороженная рыба,300,273333,82000000,103320000,,,1,Реклама Google,429$ за 10 дней,3,356070,,,1,Курьер,48000,400,19200000,,,1,Перевозка грузов в фурах,45 за км,240000,10800000,,,1,Склад,730000,3,2190000
,2,Морозилка в ПВЗ,36000,200,7200000,,,,2,Вяленая/сушёная рыба,2000,17571,35142857,44280000,,,2,Наружная реклама (Баннер),~150000,3,450000,,,2,Кассир,58000,200,11600000,,,2,Брендированная сумка курьера и одежда,7000,250,1750000,,,2,ПВЗ,55000,200,11000000
,3,"Потолок, пол, стены",26250,200,5250000,,,,3,Овощи,39,1321499,51538462,60300001,,,3,Телевизионная реклама,~80000 за один показ,10,800000,,,3,Менеджер на складе,82000,3,246000,,,3,Мопед,10000,200,2000000,,,3,,,,
,4,Стелаж пристенный,75000,200,15000000,,,,4,Фрукты ,69,702341,48461538,56699999,,,4,Яндекс баннер,2500000,1,2500000,,,4,Кладовщик,39000,30,1170000,,,4,Бензин,37,4000,148000,,,4,,,,
,5,Стелаж стеклянный,28000,200,5600000,,,,5,Алкоголь,1260,46825,59000000,79650000,,,5,,,,4106070,,,5,Бухгалтер,46000,1,46000,,,5,Комммунальные расходы,8000,203,1624000,,,5,,,,
,6,,,,,,,,6,Прочее,-,-,51000000,55080000,,,6,,,,,,,6,Программист,91000,3,273000,,,6,Сервер,70000,1,70000,,,6,,,,
,7,,,,,,,,7,,,,,399330000,,,7,,,,,,,7,Менеджер на ПВЗ,63000,50,3150000,,,7,,,,,,,7,,,,
,8,,,,,,,,8,,,,327142857,406717605,79574748,,8,,,,,,,8,Уборщица,30000,100,3000000,,,8,,,,,,,8,,,,
,9,,,,,,,,9,,,,,,,,9,,,,,,,9,Оператор тех. поддержки,50000,10,500000,,,9,,,,,,,9,,,,
,10,,,,,,,,10,,,,,,,,10,,,,,,,10,,,,,,,10,,,,,,,10,,,,
,11,,,,,,,,11,,,,,,,,11,,,,,,,11,,,,,,,11,,,,,,,11,,,,
,12,,,,,,,,12,,,,,,,,12,,,,,,,12,,,,,,,12,,,,,,,12,,,,
